559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-12-22T08:51:31.956Z	55d329b10fc9f982beadc303	vasspilka	585b9413c02c1a39599bbb69	@rjorgenson There are the elixir forums, a great place for discussion
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:24:09.929Z	578cfc86c2f0db084a238674	bialach	57da3e89c3e7045a304edbce	Price depends on the schedule you pick - ranges from like $9.9k to $13.9k
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:22:54.652Z	578cfc86c2f0db084a238674	bialach	57da3e3e33c63ba01a037912	Well, technically... I work for Premier Coding - they represent Coder Camps.  The HQ is in Houston but they recently opened an AZ location.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:21:54.840Z	54cf0eaedb8155e6700f5680	Dzheky	57da3e0218291e1048724890	what is the price?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:21:09.199Z	54cf0eaedb8155e6700f5680	Dzheky	57da3dd5aabc89857fa3bf8d	no, I didn't know there are any around
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:20:52.309Z	578cfc86c2f0db084a238674	bialach	57da3dc4fa660dd95fdff06f	Coder Camps... in Scottsdale.  Are you familiar with them?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:16:33.322Z	54cf0eaedb8155e6700f5680	Dzheky	57da3cc1c8af41d45f1858d9	what coding school? :)
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-09-15T06:15:47.499Z	578cfc86c2f0db084a238674	bialach	57da3c93fa660dd95fdfed68	Hey all!  I'm a bit new to coding and actually just started working for a local coding camp school too - excited to start learning and checking out some of the meetups!
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-08-14T19:16:50.179Z	5652185716b6c7089cbbbab2	mpatino117	57b0c3a2aee33d7241ed1633	@carl-parrish Would you like to work on a project folks ? Carl you are experience any advice on anything big to build.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-07-21T01:09:05.666Z	55a40c8c5e0d51bd787b4329	carl-parrish	579020b175045f876714e97f	Anyone goig to the meetup tonight? I totally spaced till just now. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-07-10T23:29:39.909Z	569324c316b6c7089cc1fa34	kelleyblackmore	5782da631ca34a944ee5118f	"I can do weekend mornings or tuesday/thursday nights


"
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-07-10T04:29:19.657Z	56a7e88ae610378809be5901	gdevtech	5781cf1f7aeb080527956b76	Same here I'm down but can only do weekends. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-07-10T01:28:51.651Z	569324c316b6c7089cc1fa34	kelleyblackmore	5781a4d37aeb08052793f7ca	Hello everyone!
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-07-03T12:24:27.662Z	55a9d22e8a7b72f55c3fbc16	SeanDHaley	577903fbbdf63af92dea9663	@celsom3 I am down with a meet up! I need to start some in person work for sure
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-06-28T06:35:29.929Z	5652185716b6c7089cbbbab2	mpatino117	57721ab11ac8bd1a4d78b3ed	any resources on learning data structure and algorithms and or algorithms based projects?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-06-23T14:28:40.601Z	575b82cdc2f0db084a1d45af	iris1414	576bf2182554bbe049bb5408	I would be up for one
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-06-23T04:20:55.196Z	55ad390837f2ad22587e8aaa	rjorgenson	576b63a75ba3ccaa25b6fbb6	FCC meetups would be cool
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-06-23T01:30:51.510Z	562176ee16b6c7089cb74978	celsom3	576b3bcbc7061d590d530d9a	Anyone interested in doing FreeCodeCamp meetups at the Phoenix Central Public Library (Burton Barr)? They have some pretty cool study rooms available for reservation. @newskill @Lisa-Lamphere @farosFreed @iris1414 seem to be the closest. Also, on certain Wednesday evenings, there is a Javascript Workshop in the Burton Barr Library.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-06-17T17:13:34.512Z	55a40c8c5e0d51bd787b4329	carl-parrish	57642fbef0528c4c5bb9f038	I just moved to Tempe. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-06-11T03:20:54.018Z	575b82cdc2f0db084a1d45af	iris1414	575b83966092456f663317f9	cenpho and north. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-30T18:43:27.416Z	558ee7a915522ed4b3e2ede4	angregor	574c89cf454cb2be09504f28	@celsom3 east valley here
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-23T05:36:46.938Z	55aef9c40fc9f982beaa823e	Oh-KPond	574296ee08a18f700b82b543	http://www.meetup.com/webdev-phx/events/231127359/
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-23T05:35:13.481Z	55aef9c40fc9f982beaa823e	Oh-KPond	574296917aab25fb459dc55c	http://www.meetup.com/Phoenix-JavaScript/events/229657436/
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-18T03:29:06.474Z	55bed7450fc9f982beabecf7	farosFreed	573be182e2996a5a42c95a16	Hey Az people - anyone have a local coding meetup they wanna recommend? 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-17T04:51:06.207Z	5739ad25c43b8c6019732a71	Lisa-Lamphere	573aa33a1794136a7d094bf8	 I'm central Phoenix
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-17T03:48:10.950Z	55cee7890fc9f982bead7642	newskill	573a947aeea93e5742d280d2	I'm in the southeast valley
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-17T00:46:26.532Z	55ad390837f2ad22587e8aaa	rjorgenson	573a69e264dbdadc7deca76f	not I, Tempe area here
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-05-16T23:35:15.253Z	562176ee16b6c7089cb74978	celsom3	573a5933e2996a5a42c8f143	Anybody here in the West Phoenix area?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-04-05T17:22:22.366Z	55a40c8c5e0d51bd787b4329	carl-parrish	5703f44e5386a91525339285	I’m going to be at Heat Sync Labs tomorrow from 10:30am till 3:00pm
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-03-31T01:58:18.633Z	55a01f555e0d51bd787aed6d	LeviJ	56fc843a11ea211749c35cb3	sometimes
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-03-31T01:54:33.591Z	5652185716b6c7089cbbbab2	mpatino117	56fc8359d39de41b495f2d12	"Anyone on here??
"
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-03-23T06:37:30.062Z	5652185716b6c7089cbbbab2	mpatino117	56f239aaa80ca7f40ae32c1f	@nikhilbhutadauta I am always online I justp ut on the mute
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-03-21T06:17:41.406Z	567a33c116b6c7089cbff27d	nikhilbhutadauta	56ef9205bb4a1731739b89b2	is anyone online
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-03-13T02:33:38.088Z	567a33c116b6c7089cbff27d	nikhilbhutadauta	56e4d1823194fbd110968d16	Hii 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-03-13T02:33:06.929Z	5652185716b6c7089cbbbab2	mpatino117	56e4d16211a3dbf55acb7a16	Here
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-10T20:15:56.925Z	55a40c8c5e0d51bd787b4329	carl-parrish	56bb9a7c4dfe1fa71ffbf8d3	BTW I’m here at Heat Sync Labs. I have my headphones but if anyone wants help on their project I’m available. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-09T16:38:38.147Z	55a40c8c5e0d51bd787b4329	carl-parrish	56ba160e3fab8f985ec97c60	Then at Carvana (https://www.google.com/maps/place/4020+E+Indian+School+Rd,+Phoenix,+AZ+85018/@33.4958071,-111.9970508,17z/data=!3m1!4b1!4m2!3m1!1s0x872b0c53f7c54b43:0x9e5e78a91e74ec62?hl=en) from 6:30 - 8:30 for the Phoenix JavaScript meetup. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-09T16:36:12.746Z	55a40c8c5e0d51bd787b4329	carl-parrish	56ba157cbd3dfe40303de4cf	I’ll be at Heat Sync Labs (http://www.heatsynclabs.org/) from 10:00am - 3:00pm Tomorrow if anyone wants to meet up. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-06T23:50:24.470Z	55a40c8c5e0d51bd787b4329	carl-parrish	56b686c01c80c61f4d0ac231	My friends *LOVE* discord. I’ve got an account but haven’t really been using it. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-06T23:49:37.610Z	55a40c8c5e0d51bd787b4329	carl-parrish	56b686918e641d833058bdb0	@boomer1204  - glad they are helping. Think of them like doing the scales if you’re a musican or a Kata if you’re into marshal arts. they help you develop habits that come in handy when you’re coding for work etc… .
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T22:03:32.178Z	5676b25e16b6c7089cbf5d03	yednaps	56b127b46b6468374a0b15e7	hi @scienceoflife , I think i got those improvements you suggested working. it took me a long time to get lazy load to work, i was not sure where i needed to add the lazy load action in my js but it seems to work now. it took me an embarrassingly long time to get the headline and rainbow div blocks to overlap at the top of the page and stay centered using flexbox. i ended up using `position: absolute` and guessing/checking for the `top`and `width` values in the css until it looked roughly centered. is there a better way maybe? thanks again, it was really educational for me trying to add those features.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T05:39:36.326Z	5676b25e16b6c7089cbf5d03	yednaps	56b04118dc33b33c754947a5	hey thanks @scienceoflife ! i will check out your suggestions
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T05:39:20.028Z	56af2294e610378809bf42a8	scienceoflife	56b041086b6468374a0ae867	also something you want to play with to make your columns scale a little bit better is using flexbox
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T05:38:24.608Z	56af2294e610378809bf42a8	scienceoflife	56b040d0aaae7a3a75948408	consider looking into  using a promise for your json request, and pagination for loading the data. It took about ~25 seconds for all of the images and the article previews to load in, if you limited the number to load to be just beyond the screen size and load the next group on scroll it would greatly reduce the loading time.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T05:36:45.540Z	56af2294e610378809bf42a8	scienceoflife	56b0406daaae7a3a75948400	looks great yednaps!
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T05:34:47.118Z	5676b25e16b6c7089cbf5d03	yednaps	56b03ff7c54bc2bf180d7033	Hi, just finished up my stylized news stories page, would love getting feedback if any one has a chance: http://codepen.io/yednap/pen/RrBoYW
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-02T01:29:00.166Z	5652185716b6c7089cbbbab2	mpatino117	56b0065cc54bc2bf180d6a3f	Made a little report card website hosted by github :) http://mpatino117.github.io/reportcard-master/
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-01T23:06:20.386Z	5586625615522ed4b3e23a26	Lemony-Andrew	56afe4ec8fbaf4220afab148	How's it going! 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-02-01T22:01:42.091Z	56af2294e610378809bf42a8	scienceoflife	56afd5c68fbaf4220afaae5d	Howdy all! I'm  Jr frontend javascript dev. I'd love to help out with any projects or just get involved in any way (thats how I learn). 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:36:25.810Z	55947d9115522ed4b3e333ef	boomer1204	56ab08698fbaf4220afa0639	"so that's what put them atop the list for me.  Now that I have a basic understanding of working with js I can better ""think of ideas"" and work on those as well :)"
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:35:57.223Z	55947d9115522ed4b3e333ef	boomer1204	56ab084deaf741c118d59456	"@Lemony-Andrew yeah I think the best thing about FCC is they give you the projects to do.  That was my biggest thing at the beginning was I didn't have any ""ideas"""
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:20:01.406Z	5586625615522ed4b3e23a26	Lemony-Andrew	56ab04916b6468374a0a336b	@mpatino117 They're pretty good things to do, they have way too many things to even list lol. Of course going outside of FCC isn't a bad thing though if you learn better from it
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:19:16.498Z	55947d9115522ed4b3e333ef	boomer1204	56ab04648fbaf4220afa05ce	Yeah after I finished the all front end projects I was gonna go back over and refactor
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:19:07.087Z	5652185716b6c7089cbbbab2	mpatino117	56ab045b6b6468374a0a3363	@Lemony-Andrew So you are saying just do those projects in Free Code Camp
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:18:56.559Z	55947d9115522ed4b3e333ef	boomer1204	56ab04508fbaf4220afa05cd	yeah i'm actually recreating a simple game cuz when I created a dice game it took me 2 months but I felt like I learned more than I did during the Front End Projects
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:18:02.092Z	5586625615522ed4b3e23a26	Lemony-Andrew	56ab041aeaf741c118d593e1	@boomer1204  yeah, that's good. Some good practice would be trying to re-do those projects with better tactics. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:16:24.909Z	5652185716b6c7089cbbbab2	mpatino117	56ab03b8aaae7a3a7593cbbe	@Lemony-Andrew I am taking this one man https://www.coursera.org/learn/hybrid-mobile-development/
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:16:20.243Z	55947d9115522ed4b3e333ef	boomer1204	56ab03b4c54bc2bf180cbacd	project
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:16:18.412Z	55947d9115522ed4b3e333ef	boomer1204	56ab03b280ad69394a7b2445	per projec
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:16:08.976Z	55947d9115522ed4b3e333ef	boomer1204	56ab03a8dc33b33c7548903e	well the first 2 took me a solid week or 2
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:15:56.472Z	5586625615522ed4b3e23a26	Lemony-Andrew	56ab039caaae7a3a7593cbbb	How long does it typically take you to finish them? They're good practice!
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:15:19.323Z	55947d9115522ed4b3e333ef	boomer1204	56ab03778fbaf4220afa05ba	@Lemony-Andrew I have and am at the front end projects Tic-Tac-Toe right now
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:15:01.563Z	55947d9115522ed4b3e333ef	boomer1204	56ab036580ad69394a7b243b	I was referring to that one
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:14:57.494Z	55947d9115522ed4b3e333ef	boomer1204	56ab03616b6468374a0a333d	@mpatino117 isn't the udacity one the one with angular/ionic??
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:14:20.757Z	5586625615522ed4b3e23a26	Lemony-Andrew	56ab033c8fbaf4220afa05ae	Have you all not done free code camps map? That's basically everything I learned from too take off of.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:14:00.002Z	5652185716b6c7089cbbbab2	mpatino117	56ab032880ad69394a7b2433	@boomer1204 Which course man I am taking a few ? haha
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:13:37.950Z	5652185716b6c7089cbbbab2	mpatino117	56ab0311c54bc2bf180cbab7	@Lemony-Andrew Yeah very true
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:12:51.296Z	55947d9115522ed4b3e333ef	boomer1204	56ab02e3c54bc2bf180cbab1	@mpatino117 how is the course going??
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:12:03.327Z	5586625615522ed4b3e23a26	Lemony-Andrew	56ab02b3586242210ae03b2b	I saw it! Everything these days is a spin-off of github's  names
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:11:05.794Z	5652185716b6c7089cbbbab2	mpatino117	56ab0279eaf741c118d593b1	http://ionicframework.com
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T06:11:03.967Z	5652185716b6c7089cbbbab2	mpatino117	56ab0277dc33b33c7548901c	Ionic is optimized with Angular 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:56:23.319Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aaff07dc33b33c75488fc3	You don't need either to make a mobile app though! 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:56:19.180Z	5652185716b6c7089cbbbab2	mpatino117	56aaff03586242210ae03abc	@Lemony-Andrew https://scotch.io/tutorials/create-your-first-mobile-app-with-angularjs-and-ionic
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:55:50.005Z	5652185716b6c7089cbbbab2	mpatino117	56aafee6dc33b33c75488fbf	Yeah, but you have to utilize angular when utlizing ionic 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:54:55.590Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafeafdc33b33c75488fb9	@mpatino117 wow, I didn't even know PhoneGap changed to cordova
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:54:01.251Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafe7980ad69394a7b23ad	Mobile App?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:53:50.156Z	5652185716b6c7089cbbbab2	mpatino117	56aafe6eaaae7a3a7593cb0e	But my javascript is still a bitch
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:53:36.125Z	5652185716b6c7089cbbbab2	mpatino117	56aafe60eaf741c118d5932e	and cordova
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:53:32.804Z	5652185716b6c7089cbbbab2	mpatino117	56aafe5c586242210ae03aa9	using ionic framework
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:53:29.125Z	5652185716b6c7089cbbbab2	mpatino117	56aafe59c54bc2bf180cba29	I am utilizing Angular for a app for a mobile app
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:52:47.722Z	5652185716b6c7089cbbbab2	mpatino117	56aafe2f80ad69394a7b23a4	lol
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:52:46.612Z	5652185716b6c7089cbbbab2	mpatino117	56aafe2edc33b33c75488fb0	I just really want to get a hold of my Javscript man
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:50:45.867Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafdb580ad69394a7b2399	It's regular ECMA2015 compatible but not it's target language -- weirdly enough
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:50:12.368Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafd94c54bc2bf180cba18	Typescript in it's examples on the homepage and pushing it for pages outside of the homepage*
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:49:55.323Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafd83eaf741c118d59315	Angular 2 also uses typescript which is just more opinions I don't have time for. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:49:25.694Z	5652185716b6c7089cbbbab2	mpatino117	56aafd65c54bc2bf180cba14	Yeah, Angular is in a transition and Angular 2 is compelty unstable at this time. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:47:45.908Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafd016b6468374a0a3276	Angular is in a transitional state right now and was never really an easy framework to work with. There's a lot of terminology that's used specifically just for it and it's very opinionated having a lot of influence over how you code. I disliked that. 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:46:48.304Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafcc8586242210ae03a7d	"I don't use many frameworks, I'm very comfortable with the ""lower-level"", if you will, dom api. But when it comes to frameworks, I really like React"
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:45:53.801Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafc91eaf741c118d592fb	One sec sorry I was talking 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:45:51.647Z	5652185716b6c7089cbbbab2	mpatino117	56aafc8fc54bc2bf180cb9f8	Do you have any experience with frameworks with Angular.js
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:44:19.091Z	5652185716b6c7089cbbbab2	mpatino117	56aafc3380ad69394a7b236f	So what do you recommend 
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:43:55.435Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafc1bc54bc2bf180cb9e5	"It creates bad habits if you're trying to get on the ""make this work with least amount of code"""
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:43:39.096Z	5652185716b6c7089cbbbab2	mpatino117	56aafc0baaae7a3a7593cac1	@Lemony-Andrew what about top coders haa
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:43:27.689Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafbffdc33b33c75488f77	@mpatino117 I highly dissaprove of code wars
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:43:16.917Z	5652185716b6c7089cbbbab2	mpatino117	56aafbf4586242210ae03a63	@Lemony-Andrew I am going to try something like code wars
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:42:44.096Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aafbd4aaae7a3a7593caba	"@mpatino117  Hey, it took me a bit of time. But I've already had a lot of experience with another scripting language prior so I already had quite a bit of ""similar"" experience. But I wouldn't say I was ""good"" until I really fell in love with javascript haha"
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T05:41:25.844Z	5652185716b6c7089cbbbab2	mpatino117	56aafb85eaf741c118d592e8	@Lemony-Andrew Where do you practice your javascript man? I am having a hard time just getting a grasp of it. What was your learning curve? You are a javascript guy seems like
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:59:53.306Z	55947d9115522ed4b3e333ef	boomer1204	56aaf1c96b6468374a0a3160	I feel like most of the people on the group aren't backend ready yet anyways (I know i'm not)
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:59:46.760Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aaf1c2dc33b33c75488e80	and Node. I've only really learned what I wanted too, because it's what benefits me if you know what I mean
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:59:21.580Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aaf1a980ad69394a7b2259	"Yes I am. I'm pretty good conceptually, there's a lot I haven't studied with Server Side and node though. Everything I've done is basically front-end with the DOM --- though I do have a ""good"" amount of experience with npm "
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:58:28.999Z	55947d9115522ed4b3e333ef	boomer1204	56aaf17580ad69394a7b2253	are you on the facebook group?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:57:54.322Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aaf1528fbaf4220afa03c0	Multi-media library but more like a framework for making games
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:57:52.048Z	55947d9115522ed4b3e333ef	boomer1204	56aaf150c54bc2bf180cb8cf	cuz i'm a beginner/beginner-intermediate and didn't know if we should do a Front End project for FCC or a project for someone but if you have a high level of knowledge you might be the best one to share your screen while we work through things?
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:57:17.681Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aaf12d8fbaf4220afa03bc	I've made a data-binding library, a multi-media library, I've made a level editor for my game, I'm in progress of making a multiplayer platformer game.
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:56:38.278Z	55947d9115522ed4b3e333ef	boomer1204	56aaf106586242210ae03956	Ok so you have built applications with js and stuff??
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:56:25.549Z	5586625615522ed4b3e23a26	Lemony-Andrew	56aaf0f9586242210ae03954	Very high
559398c915522ed4b3e32675	FreeCodeCamp/Phoenix	2016-01-29T04:56:18.657Z	55947d9115522ed4b3e333ef	boomer1204	56aaf0f280ad69394a7b2249	what's your level of knowledge with js??
