5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2016-09-27T07:10:13.103Z	57e2224440f3a6eec06669c3	Franzzisco	57ea1b5535e0f31c6c46eef3	Hello People!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-10-06T21:42:33.037Z	546fc9f1db8155e6700d6e8c	QuincyLarson	5614404976d984a358758ac7	"##Please note that we now recommend campers use their Campsite’s Facebook group for chatting instead of their campsite’s Gitter chatroom. 
We are doing this because few of our Campsite Gitter chatroooms have active synchronous discussions, and about 1/3rd of conversations consist of someone saying “hello” and not getting a response. Most of the discussions are asynchronous, which Facebook posts and group messages are better suited for.
We’ve removed this Gitter room from our Campsite directory. Still, we will keep it open for archival purposes, and you can keep using it if you’d like.
Here’s a short blog post about how our Campsites are evolving and growing: http://blog.freecodecamp.com/2015/09/jump-start-your-local-campsite-with-coffee-and-code.html"
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-28T06:44:39.136Z	5595c36615522ed4b3e345f7	njgell	5608e1d7efd97f3e4669bfe5	Hello @Worulz 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-26T13:02:24.535Z	5606960f0fc9f982beb1e9ec	Worulz	56069760713758410cd9e1bc	Hello world!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-20T10:42:08.957Z	558f680f15522ed4b3e2f2d7	jags14385	55fe8d80aef03edd3ed1671c	I'm up for a meetup too
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-06T07:38:58.025Z	55e3a4cd0fc9f982beaf1bd1	ozjohnson	55ebed9224228c321f1aebce	hi tokadot.  will definitely update this room if i hear of anything.  i'm looking forward to the pomodoro exercise tho have a way to go til i get there.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-05T08:28:48.109Z	55961b9515522ed4b3e34a1b	tolkadot	55eaa7c0941cb60657c75ea0	I'm up for a meetup in Melbourne sometime too. I'm on Zipline #4, the Pomodoro clock. 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-02T03:28:53.061Z	55e2ad640fc9f982beaf0d6d	emmrr	55e66cf556211cd86f870d3b	@ozjohnson tops, likewise. 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-02T03:05:19.636Z	55e3a4cd0fc9f982beaf1bd1	ozjohnson	55e6676fe55df6ee79bf2329	@emmrr  i haven't really looked yet.  i'm going to get through the fundamentals first and then when i hit the first zipline, start looking (unless something comes up first).  will keep on the lookout for one tho and post here if i find anything.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-02T03:02:19.554Z	55e2ad640fc9f982beaf0d6d	emmrr	55e666bbb4f7751c343acc6b	@ozjohnson know of any meetups for freecodecamp? i saw there's a new codeacademy one. 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-02T02:54:36.282Z	55e3a4cd0fc9f982beaf1bd1	ozjohnson	55e664ecf0248505272d91da	@emmrr  thanks.  also really enjoying the course.  hoping that once i get it into it a bit more, can meetup with others in melbs.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-02T02:39:41.083Z	55e2ad640fc9f982beaf0d6d	emmrr	55e6616dc856a83f6e6a5909	i joined this week. great course/structure so far. 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-02T02:39:35.671Z	55e2ad640fc9f982beaf0d6d	emmrr	55e66167e55df6ee79bf22b0	@ozjohnson welcome! 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-01T07:19:21.793Z	55e3a4cd0fc9f982beaf1bd1	ozjohnson	55e551798ca628307ecd3c09	@jags14385  thanks Jags
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-09-01T06:09:25.328Z	558f680f15522ed4b3e2f2d7	jags14385	55e5411570e051b71638b99b	@ozjohnson  welcome
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-31T11:07:00.964Z	55a3b7175e0d51bd787b39b9	watsondr	55e435548a8b32aa29a31baf	hey, still looking at it every day!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-31T04:16:21.423Z	55e3a4cd0fc9f982beaf1bd1	ozjohnson	55e3d51556211cd86f86adc4	@atan77 thanks!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-31T04:12:26.935Z	55ab788437f2ad22587e62d7	atan77	55e3d42a3dbd5ab9704ff05e	"welcome
"
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-31T01:04:49.230Z	55e3a4cd0fc9f982beaf1bd1	ozjohnson	55e3a8313dbd5ab9704fecbf	hey everyone.  this room doesn't seem to be too active, but anyway, new FCC user here in Melb.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-17T12:34:14.945Z	55c664990fc9f982beacb539	HackingNomad	55d1d4c69b45e15c42648b1a	@roamingtim cool to see people with similar plans/dreams although I'm going for working holiday first to explore the region. Been to SEA etc. before, now I want to see Australia and finish what I started in SEA. Brushing up on JavaScript, departure date will be jan/feb 2017 for me so have time. :) 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-11T08:05:05.770Z	559dee0615522ed4b3e3b098	auqib	55c9acb1aac97ada66dd7026	has anyone completed FCC...???  I was just wondering how much time it takes to finish the course..  
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-05T13:43:59.749Z	559fbcfc0fc9f982beaa6c70	mickydig	55c2131feff8f1d77cc349a4	Hi @njgell, thanks for the reply a few weeks back. I must have dropped off before you responded, and have only just made it back here thanks to the invitation to 'PairProgram'. Professionally, I stopped coding about 10 years ago, although have kept up some skills up by coding plenty of dos batch scripts & vba macros. Suppose it just goes to show you can take a bloke out of programming, but you can't take the programming out of a bloke ;)
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-04T12:45:35.881Z	55982e2715522ed4b3e35edb	roamingtim	55c0b3ef37816be77caf8c9d	Yeah, that is for someone straight out of uni I think. I should be able to get $75,000 which is the average full time salary I believe. So better be more than $50k-$60k!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-04T12:40:07.685Z	55b9b7990fc9f982beab7d3c	Gornstats	55c0b2a7eff8f1d77cc31aa2	@roamingtim there seems to be a big range in salaries, but junior front-end jobs pay around 50k-60k from what I've seen
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-08-04T12:37:55.526Z	55982e2715522ed4b3e35edb	roamingtim	55c0b223eff8f1d77cc31a86	Seems like plenty of front end dev, full stack JS jobs around in Melbourne. Anyone have any idea how much we will earn as a beginner (I have Internet Marketing, SEO, and Web Dev experience)
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-27T11:30:12.564Z	55b32d310fc9f982beaaecd9	GilFewster	55b61644e923d83d6d46c3d0	"@watsondr maybe I'm just suffering grumpy old man syndrome, but I tend to feel people should be taught the underlying tools before diving into frameworks and libraries that sit on top.  

But I do understand the 'up and running' quickly argument. It's a fine line. I guess I'd be more comfortable starting people on Bootstrap if it was accompanied with deeper explanation of what is going on under the hood at the same time."
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-27T11:27:34.625Z	55b32d310fc9f982beaaecd9	GilFewster	55b615a6cfe8c23a6dfab8fb	@watsondr Bootstrap is really heavy, and the default package includes vast swathes of stuff you probably won't use on any single site. But you need some solid CSS fundamentals to work with it best.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-27T09:49:53.422Z	55a3b7175e0d51bd787b39b9	watsondr	55b5fec1cfe8c23a6dfab6d3	"@GilFewster which specific cons? I'm not too familiar but have dabbled in to it a little myself. Being entrenched in to a particular page structure that may not suit the design of a page, causing spaghetti code later on after a few edits is something I'm cautious of when I use it. 

I found it heavily time consuming to edit the underlying CSS as a straight plugin to a site too because of the default attributes, but it makes it so much quicker to get 'something' up and running."
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T22:42:42.250Z	55b32d310fc9f982beaaecd9	GilFewster	55b5626252d85d450f403da6	Hi all. Just orienting myself with the waypoints, but so far pretty impressed with the structure of the lessons. Seems like a nice way in for beginners, although I'm not sure about the dive into using Bootstrap classes without any real talk about pros/cons. But I guess the point is practical exercise, not theory.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T11:26:42.991Z	5595c36615522ed4b3e345f7	njgell	55b4c3f2bab860d8168a0832	That's a pretty handy website. I'm using codepen to write and test my code. I'm the same with the chrome dev tools. Only really use the console haha.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T10:46:51.327Z	55961b9515522ed4b3e34a1b	tolkadot	55b4ba9bbab860d8168a07b7	I still haven't really got my head around using all of the developer tools in chrome other than the console to help with debugging.  
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T10:42:42.664Z	55961b9515522ed4b3e34a1b	tolkadot	55b4b9a2e923d83d6d46a9ca	I feel like I'm learning heaps doing these exercises @njgell  - I use http://www.webtoolkitonline.com/javascript-tester.html to write my code.  Are you using the Bonfire or some other tool?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T10:39:52.783Z	5595c36615522ed4b3e345f7	njgell	55b4b8f8bab860d8168a0798	Ooo I'm not far behind you @tolkadot, I'm up to Chunky Monkey. I love how the challenges force you to do extra research to solve the problems.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:45:59.935Z	55961b9515522ed4b3e34a1b	tolkadot	55b4ac57e923d83d6d46a913	Yeah thats a fair point.  Codeacademy definitely does that.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:41:50.258Z	55a3b7175e0d51bd787b39b9	watsondr	55b4ab5e52d85d450f40303d	That sounds really good, thanks for that... A lot of what frustrates me with online learning is the amount of help that is provided with the problem solving.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:38:43.185Z	55961b9515522ed4b3e34a1b	tolkadot	55b4aaa3bab860d8168a06f7	I'm also working through the Eloquent Javascript exercises.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:37:56.230Z	55961b9515522ed4b3e34a1b	tolkadot	55b4aa7452d85d450f403033	They are a bit more challenging then I thought they would be @watsondr - similar to codeacademy but without the coaching.  I'm enjoying them.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:36:26.782Z	55961b9515522ed4b3e34a1b	tolkadot	55b4aa1ae923d83d6d46a904	Just up to Slasher Flick tonight @njgell  - Its #13
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:36:14.801Z	55a3b7175e0d51bd787b39b9	watsondr	55b4aa0ecfe8c23a6dfa9dc6	I haven't got up to any bonfires yet, just powering through the waypoints when I can, what are they like?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-26T09:35:39.476Z	55961b9515522ed4b3e34a1b	tolkadot	55b4a9ebbab860d8168a06f0	Just up to Slasher Flick tonight.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-25T07:40:27.337Z	5595c36615522ed4b3e345f7	njgell	55b33d6bbab860d81689f23f	I’m also working through the Bonfires @tolkadot Which one are you up to?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-23T07:18:07.371Z	55961b9515522ed4b3e34a1b	tolkadot	55b0952f5992e2977c417248	Hi there, its nice to see some people in here.  I'm just getting through the bonfires when I can at the moment.  I'd love to be finished by the end of the year too, but with other commitments its unlikely.  Anyone else further ahead?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T14:51:39.565Z	55a78b4e8a7b72f55c3f945c	markcarriedo	55ae5c7ba3bbb5445f637c4d	good evening all.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T10:13:17.050Z	5595c36615522ed4b3e345f7	njgell	55ae1b3d0b0e863a256f60ee	Hi @mickydig. How long ago did you stop coding?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T09:58:43.377Z	559fbcfc0fc9f982beaa6c70	mickydig	55ae17d3fc6bfdd8709727ae	Hi guys, good to see some chat in here. This is my first post, and also just started the course last week to get back up to speed with coding after many years away.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T08:52:44.575Z	5595c36615522ed4b3e345f7	njgell	55ae085c39c39bf45055ebc2	Ahh wow! That’s amazing! That’s pretty much what I want to do at the end of next year. Work while travelling.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T08:30:55.503Z	55982e2715522ed4b3e35edb	roamingtim	55ae033f458198f250e2460a	Probably earn the same money as I could get from a job at home but spending less than $1000 per month and seeing the world. But tired now so I want to come home and get a 6-12 month job in a cubicle and learn on the job, make connections etc
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T08:30:00.560Z	55982e2715522ed4b3e35edb	roamingtim	55ae030839c39bf45055eaf2	All over the world but mainly SE Asia and Eastern Europe. Sounds glamorous but I was saving a heap of money and living a basic life. So it was cheaper to travel than to live in Melbourne because I was earning money on the road.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T06:56:53.881Z	5595c36615522ed4b3e345f7	njgell	55aded35fc6bfdd8709722eb	I have the same time frame to complete the course. Where have you been travelling @roamingtim?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T05:57:07.980Z	55982e2715522ed4b3e35edb	roamingtim	55addf33458198f250e2428e	and travel again. but i needed to come home to rest
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T05:56:59.085Z	55982e2715522ed4b3e35edb	roamingtim	55addf2b0b0e863a256f5a61	in Melbourne then go freelance/remote
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T05:56:56.314Z	55982e2715522ed4b3e35edb	roamingtim	55addf28fc6bfdd870972184	Ok hoping to complete the course by the end of the year and start a 6-12 month contract
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T05:56:21.446Z	558f680f15522ed4b3e2f2d7	jags14385	55addf050b0e863a256f5a5e	Still working on completing the course.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-21T05:51:30.573Z	55982e2715522ed4b3e35edb	roamingtim	55addde239c39bf45055e77b	Me too
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-16T09:17:31.682Z	5595c36615522ed4b3e345f7	njgell	55a776abe2aa1b264b5e3af7	Hi @roamingtim. still working on the FCC course.
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-15T12:52:51.641Z	55982e2715522ed4b3e35edb	roamingtim	55a657a358cbde1459f363aa	Hi Melbourne. Anyone here completed FCC and landed a job in Melbourne?
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-12T10:17:38.894Z	5595c36615522ed4b3e345f7	njgell	55a23ec22d74bde83ae1e0c1	Hello @bignuge :)
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-12T08:42:46.076Z	55a225e15e0d51bd787b1c56	bignuge	55a22886b8b45ca15bc7b626	Hello Melbourne!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-11T03:40:07.007Z	5595c36615522ed4b3e345f7	njgell	55a090178223831f09904b19	hello @iamcameron 
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-10T23:45:46.559Z	55a055175e0d51bd787af67d	iamcameron	55a0592a6be10320098fe5ca	Hello, Melbourne!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-09T05:15:52.059Z	558f680f15522ed4b3e2f2d7	jags14385	559e038852cc8c664f513c2a	Hey
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-09T04:31:06.765Z	5595c36615522ed4b3e345f7	njgell	559df90af4ca51b204930370	Hey @auqib
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-09T04:21:21.789Z	559dee0615522ed4b3e3b098	auqib	559df6c126de773708e66df5	Hello Melborunians..!
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-03T00:22:12.462Z	558df4e415522ed4b3e2e4a4	sanyatark	5595d5b4b634f09d21d98e87	"I couldn't see it on the list: http://bit.ly/1RUK7Ty
but why not start your own Sydney group? On that above url they show you how to do so."
5593973315522ed4b3e32615	FreeCodeCamp/Melbourne	2015-07-02T17:36:42.719Z	55211d8f15522ed4b3de5fe9	Paulie-P	559576aab634f09d21d982ae	Is there a Sydney free code camp room? or is this the closest I'm gonna get?
