559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2016-11-15T16:27:33.798Z	5820b75cd73408ce4f3448df	venkateshwaracholan	582b3775e462097a3051ea6b	hello
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-19T01:17:13.290Z	55bdd64b0fc9f982beabd728	richchurcher	55fcb7993a8116ed5f694f7b	There's also likely to be a version of http://devacademy.co.nz in Auckland next year, which will be JS-based
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-19T01:16:43.517Z	55bdd64b0fc9f982beabd728	richchurcher	55fcb77baef03edd3ed14947	Could put feelers out through the Auckland JS meetup to see if there was any interest (although that's mostly people using JS professionally)
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-19T00:54:08.557Z	55bdd64b0fc9f982beabd728	richchurcher	55fcb23018e0111d7e4f9f1d	if we could get a few people through the curriculum we could setup to tackle the non-profit stuff
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-19T00:53:29.942Z	55bdd64b0fc9f982beabd728	richchurcher	55fcb2093a8116ed5f694f18	I ran through the exercises and front-end stuff pretty quickly due to prior experience with the language, but haven't done the back-end challenges due to work taking over a bit ;)
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-19T00:47:30.307Z	55bdd64b0fc9f982beabd728	richchurcher	55fcb0a2c588a0de6edf4467	Hi @KarlSchodt I'm contracting in Auckland and have been thinking about moving my virtual office around a bit ;) would be happy to continue the caffeine intake, can be available to answer JS questions etc
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-18T01:21:30.453Z	55c181660fc9f982beac3f95	KarlSchodt	55fb671aaef03edd3ed11d46	I am working to set up a meetup for those interested in learning to code in Auckland. If it works then we can think about having on a regular basis where we can meet up with our computers, have coffee and learn to code in a collaborative environment. Who would be interested in this?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-12T10:34:36.927Z	54d29d8fdb8155e6700f751f	dragonraij	55f3ffbcaa83f16226dacce9	Maybe we have only one from Wellington
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-06T20:39:57.570Z	55bdd64b0fc9f982beabd728	richchurcher	55eca49dece6c2581e09018b	In the Auckland room? :) I guess it's possible!
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-04T10:08:06.554Z	55e15dbc0fc9f982beaefb7a	avatarhzh	55e96d86d231aa8e59192085	Anyone here from Wellington?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-09-03T22:55:42.200Z	55b1bf600fc9f982beaacb28	nychinn	55e8cfeefaa620f25267fb22	I use this sometimes - hopefully to hone skills in more advanced javascript!
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-26T04:30:13.409Z	55c181660fc9f982beac3f95	KarlSchodt	55dd40d5a6bcd8894068f973	welcome Jenny
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-23T02:03:41.802Z	54d29d8fdb8155e6700f751f	dragonraij	55d929fd004c3e375ad0537d	I have done most of the bonfires stuck with functional programming ones
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-23T02:02:50.616Z	54d29d8fdb8155e6700f751f	dragonraij	55d929cafcfd5a7865aeef02	Welcome Jenny
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-21T05:29:35.785Z	55d649650fc9f982beae1865	jennynz	55d6b73f0d29ce8f44b73d97	I just heard about this today and have just joined!
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-21T02:27:35.877Z	55c181660fc9f982beac3f95	KarlSchodt	55d68c97f4d6ddcc0d922114	where are you up to?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-21T01:50:11.244Z	55a0abff5e0d51bd787b003c	sb18281	55d683d31250e6600d08f185	It's been a while since I've been active but I'm looking to get back in once I have a bit more free time next month. - Simon
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-21T00:28:54.081Z	55c181660fc9f982beac3f95	KarlSchodt	55d670c6b421ebcb0dae0528	I am. been doing FCC for a few weeks now. What are you trying to learn?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-20T22:52:08.665Z	54d29d8fdb8155e6700f751f	dragonraij	55d65a18e3dd18904433ba7d	is anyone in auckland active in freecodecamp?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-13T23:43:22.040Z	54d29d8fdb8155e6700f751f	dragonraij	55cd2b9a057d8c9d3a6d4598	Hello people, I just joined this group, been on fcc for a while though
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-11T22:48:08.311Z	55c181660fc9f982beac3f95	KarlSchodt	55ca7ba87f578b465ff4c34a	how are you guys finding the course? Have you done any of the others like codecadamy?
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-06T23:39:11.975Z	55c181660fc9f982beac3f95	KarlSchodt	55c3f01f9ecc6dfc28b594a4	Thats great. Lets see how we all progress and keep in touch. I'm sure were all going to need each others help to advance.
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-05T05:45:02.914Z	55b3dff30fc9f982beaaf88f	Liight	55c1a2de68c869d67cf047df	If anyone here is available to schedule future bonfires with, I'd be interested in discussing this with them. My login time is 5pm-6.30pm Monday, Tuesday & Thursday Auckland time.
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-05T05:41:40.351Z	55b3dff30fc9f982beaaf88f	Liight	55c1a2147a6037e67c599764	Hi Karl, midnight-indigo. I also use this room.
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-05T05:18:49.005Z	55c181660fc9f982beac3f95	KarlSchodt	55c19cb99fb911ea312a23bd	Done anything else?I have also been working with codeacadamy and coders Manual so that I am trying to make sure I am getting each section before I go on.
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-05T04:11:03.603Z	55c07d680fc9f982beac1ee5	midnight-indigo	55c18cd79fb911ea312a228a	Me too :)
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-05T03:41:43.726Z	55c181660fc9f982beac3f95	KarlSchodt	55c185f79fb911ea312a21d0	I've just started this course so I probably will
559391e315522ed4b3e324eb	FreeCodeCamp/Auckland	2015-08-05T03:33:35.421Z	55c07d680fc9f982beac1ee5	midnight-indigo	55c1840feff8f1d77cc33a4f	Hi does anyone use this room?
