55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2016-09-19T21:37:16.152Z	5675c83816b6c7089cbf4fb8	sapioit	57e05a8c33c63ba01a16ee5c	:(
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-25T02:49:32.621Z	558c0d2015522ed4b3e2b911	caseywoolley	55dbd7bc004c3e375ad093c3	http://www.mrmoneymustache.com/ - weird name for a blog but  basically everything you need to know about money and financial independence.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-07T19:58:02.286Z	559b06ee15522ed4b3e3833f	Rafase282	55c50dca7f578b465ff44856	then i just need more money to put there then i guess
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-07T14:22:48.936Z	55062cfa15522ed4b3dd4eb5	BrendanSweeny	55c4bf382ee3da6275c313d3	Yeah in the past few months, I've seen a drop with the market swings. Since 2011 though, I have seen ~4% annualized returns (~8% time-weighted) after fees. For comparison, Vanguard's 2050 Target Retirement fund with a similar allocation had an annualized return of 4.5% over the past 3 years, so it seems reasonable.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-07T14:04:58.860Z	559b06ee15522ed4b3e3833f	Rafase282	55c4bb0aaac97ada66dd01b9	I have been using it for over a month, most of the time It is at a negative. I have been putting money slowly instead of moving all my savings but I wanted to see how people have been doing
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-07T13:59:36.760Z	55062cfa15522ed4b3dd4eb5	BrendanSweeny	55c4b9c8aac97ada66dd018f	Yeah @Rafase282 . I've been using Betterment since 2011. I like it. The fees are slightly higher than what you'd pay at Vanguard, but it's very simple and has no minimum investment amount. There are a couple of other perks like automated rebalancing and tax-loss harvesting, though I think competing services also have these features or will soon.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-07T03:48:40.762Z	5587965b15522ed4b3e25670	itzsaga	55c42a989ecc6dfc28b599fd	@Rafase282 I've heard of it but never used it.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-06T23:32:18.199Z	559b06ee15522ed4b3e3833f	Rafase282	55c3ee8279ce6c152f064f3b	Anyone here using betterment?
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-06T04:54:22.653Z	559b06ee15522ed4b3e3833f	Rafase282	55c2e87e68c869d67cf07111	hi
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-05T03:57:38.702Z	55c176970fc9f982beac3e83	madwhit	55c189b268c869d67cf045cd	Hey all! I'm new to freecodecamp, but I'm as excited for the community as the learning. @jjbagood  I second Ramit Sethi's resources. Lately I've also started reading Mr. Money Moustache and appreciate his approach to finance.  
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-03T17:27:35.946Z	558648d915522ed4b3e23905	MirPresT	55bfa48774b0f33813149ae7	@alexandruolteanu  the specifics are geared to those in the U.S but the ideas work elsewhere - 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-03T15:46:40.769Z	5473505edb8155e6700d7a0d	alexandruolteanu	55bf8ce05a5770ec07683734	Does it work for people from other countries or just USA?
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-03T15:43:41.858Z	5587965b15522ed4b3e25670	itzsaga	55bf8c2dbc6ede0d449c3b70	Cheesy or not it's an automated personal finance system that works.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-03T15:40:14.833Z	5473505edb8155e6700d7a0d	alexandruolteanu	55bf8b5e5a5770ec076836e0	@itzsaga Found that book really cheesy, stopped reading 1/4 way through
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-03T06:26:19.463Z	5587965b15522ed4b3e25670	itzsaga	55bf098bdcea60b379ff0e6b	@jjbagood I highly recommend I Will Teach You To Be Rich by Ramit Sethi. Targeted at someone of your age. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-01T15:40:24.456Z	55a45c8c5e0d51bd787b4b0a	jjbagood	55bce86812f77ab279a97d30	@bradstachurski I appreciate it! Will definitely check out those resources out. I'm in my early 20s just beginning my career, really want to start my finances off right
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-01T15:25:31.564Z	55a195ba5e0d51bd787b135f	bradleystachurski	55bce4eb43481e533760230a	Hi @jjbagood! A great book that's a short read is If You Can: How Millennials Can Get Rich Slowly by William J Bernstein. It will take you just a few hours to get through (and you can find a free and legal pdf of it with a quick google) and is a great primer to saving/finance/investing. The title is a bit misleading since it's applicable to all generations, not just millenials. As you read through it, there are several great books that he mentions and if you work your way through all of them you'll be at a great spot for thinking about managing your own finances. Another good way to get up to speed is to go through posts on reddit.com/r/personalfinance. @CodeNonprofit mentioned earlier The Intelligent Investor by Benjamin Graham. It's a great book and a must-read if you want to get into the value investing space, but I would hesitate recommending it as one of your first books in finance since it's pretty dense and a big time commitment. Hope that helps!
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-08-01T15:09:07.929Z	55a45c8c5e0d51bd787b4b0a	jjbagood	55bce11312f77ab279a97cc9	@bradleystachurski  Welcome man. What top books do you recommend to someone who knows very little about finance and investments? 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-30T17:43:55.230Z	55a195ba5e0d51bd787b135f	bradleystachurski	55ba625b12f77ab279a941ae	Hey folks! Glad to see a chat like this created. I started trading options when I was 16, went to school and got degrees in Finance and Applied Math, worked as a professional market maker for the options on the S&P 500 (SPX) in both the Chicago pits and electronically, then realized the lifestyle of a software developer suits me much better. I am still actively trading my own account and enjoy helping people demystify the world of options and investing. Feel free to ask me any questions and I'm more than happy to suggest some free resources to get you started
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-27T16:25:44.621Z	5587965b15522ed4b3e25670	itzsaga	55b65b8886ec1eb43060ec92	I think all should consider it. I'm married so can't speak directly but I thought about it when single yes. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-25T21:45:23.625Z	5586c26215522ed4b3e23f3a	DanStockham	55b4037369ee33730f445626	Has any single guy in their late 20s early 30s considered buying a house?
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T19:05:00.397Z	54c42178db8155e6700f0cf4	klmlfl	55b28c5c61d39fd716065109	None of that stuff will matter 2 years from now. The highest paid developer I know graduated from Strayer university (expensive but not prestigious)
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T17:52:32.149Z	558648d915522ed4b3e23905	MirPresT	55b27b60cfe8c23a6dfa77dc	You know even if you have the knowledge to make such a decision when you are 18.... its NOT EASY especially when the norm is to go to a prestigious (expensive) university regardless of the cost or potential debt ... I had to make the decision 2 years ago to attend a community college vs take on mountains of debt...although I knew the benefits and was financially more aware than most people my age ..... I do get flack from my peers who went to universities. Luckily I think the annoyance of people belittling my education is greatly outweighed by the benefits - I Plan on transferring next fall - and I would make the same decision if I could go back
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:14:35.339Z	55a4a6f45e0d51bd787b4fff	capearman	55b2646b61d39fd716064aad	"And don't worry about it @klmlfl, I'm teachable and don't mind ""ramblings"" one bit. "
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:05:19.641Z	55a4a6f45e0d51bd787b4fff	capearman	55b2623fe923d83d6d467ebb	thanks @itzsaga, I'm working as well but it shouldn't be too hard to get through FCC within the next semester or so. And thanks for your advice @klmlfl
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:02:27.245Z	5587965b15522ed4b3e25670	itzsaga	55b2619352d85d450f40062f	At 18 we all think we know but we don't lol
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:01:22.500Z	54c42178db8155e6700f0cf4	klmlfl	55b26152bab860d81689ddba	Sorry, man. I’m rambling ^. I just think about my past a lot and there are things I would do differently, especially at that age.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:01:15.759Z	55a4a6f45e0d51bd787b4fff	capearman	55b2614bbab860d81689ddb5	@itzsaga 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:01:01.713Z	54c42178db8155e6700f0cf4	klmlfl	55b2613de923d83d6d467e8c	So that shows me what really matters is being personable.  If I were to give specific advice to my 18 year old self who just graduated it would be go to community college and get an Associates in a STEM (Science, Tech, Engineering or Math — and maintain a decent GPA so I can transfer to a university) Then finish the last 2 years at the university. Maintain a network of friends at the schools to keep in touch with. Work on tons of side projects and create a really good resume highlighting all of my real skills, interests, experience. Basically, just dont get into too much debt and do the bare minimum  when it comes to school. Be a cool person who is always working on things and keep in touch with people.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T16:00:20.266Z	5587965b15522ed4b3e25670	itzsaga	55b2611452d85d450f400614	If you're part of FCC though you may consider taking a year and crush the FCC curriculum and getting your first job as a dev. I wish I could do it full time but have two kids so can only work it part time because I have to work. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:58:07.923Z	54c42178db8155e6700f0cf4	klmlfl	55b2608fbab860d81689dd86	I got my highest paying job by meeting someone a Meetup, it was a Javascript meetup but our shared interests were selling on eBay. There was an opening at his company and he told me what the requirements were. I met his boss at the next Meetup (which was held at his company) and we became friends.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:57:02.054Z	54c42178db8155e6700f0cf4	klmlfl	55b2604ebab860d81689dd76	What really matters are people skills and technical skills. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:56:50.024Z	54c42178db8155e6700f0cf4	klmlfl	55b26042cfe8c23a6dfa73b9	Yea and that too. Don’t worry about the school. Just get the cheapest education and get a bachelors degree.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:56:19.729Z	54c42178db8155e6700f0cf4	klmlfl	55b2602352d85d450f4005de	@capearman Yea, for me that’s totally the case. Do I recommend a degree — yes. Do I think it’s worth the *debt* - no. If you can pay your way through it, do it. Because there are still too many jobs out there that wont consider you without a degree. My job is one of them.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:56:10.191Z	5587965b15522ed4b3e25670	itzsaga	55b2601abab860d81689dd6b	Well after your first job nobody cares about where you got your degree. They're looking at your past work. So state school vs. private college is usually not worth the price difference. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:54:50.282Z	55a4a6f45e0d51bd787b4fff	capearman	55b25fca69ee33730f4433ef	That's good advice @klmlfl and @itzsaga. So going to college might not be worth the debt involved if the job afterwards doesn't pay off? 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:54:33.794Z	5587965b15522ed4b3e25670	itzsaga	55b25fb961d39fd7160649d3	I agree that these days 4 year college can be less useful then specialized degrees. However, I think there is a part of life that happens in college that you might not get elsewhere. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:54:32.930Z	54c42178db8155e6700f0cf4	klmlfl	55b25fb8cfe8c23a6dfa739f	The best thing you can do though, really, is stay out of debt and learn to invest your money. I started off learning about money by selling my old stuff on eBay and that gradually changed to learning to buy and sell stuff online in general, which led to buying my first warehouse (it was a shed really), and I converted it into a shared office, from there it was housing / real estate.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:52:30.549Z	54c42178db8155e6700f0cf4	klmlfl	55b25f3ecfe8c23a6dfa7381	^ exactly.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:52:22.493Z	54c42178db8155e6700f0cf4	klmlfl	55b25f36cfe8c23a6dfa737e	Don’t go to a 4 year college on debt. Be careful if you go to college at all. Most of my friends with degrees have low paying jobs. All of them that have STEM degrees do have good jobs though.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:51:51.917Z	5587965b15522ed4b3e25670	itzsaga	55b25f1761d39fd7160649a2	If you live in the US go to public college and pay your way through. No student loans. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:51:14.660Z	5587965b15522ed4b3e25670	itzsaga	55b25ef2bab860d81689dd38	No credit cards. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:51:05.356Z	55a4a6f45e0d51bd787b4fff	capearman	55b25ee9cfe8c23a6dfa7371	What can be some other ways to avoid debt early in life? 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:51:05.280Z	5587965b15522ed4b3e25670	itzsaga	55b25ee9bab860d81689dd36	I think that's a great idea for life experience. However, I don't view housing as debt. I want to build one too eventually as an office for myself. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:49:15.072Z	54c42178db8155e6700f0cf4	klmlfl	55b25e7be923d83d6d467e05	@capearman , if you can do it , that’s a wonderful idea!
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:43:58.433Z	55a4a6f45e0d51bd787b4fff	capearman	55b25d3ecfe8c23a6dfa731e	Hey guys. About to graduate highschool. Thinking about building a tiny house to avoid debt early on. Your thoughts? 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:33:38.364Z	5587965b15522ed4b3e25670	itzsaga	55b25ad2bab860d81689dc83	Makes sense. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:28:57.503Z	54c42178db8155e6700f0cf4	klmlfl	55b259b9e923d83d6d467d34	Some people have other strategies, like buying very cheap properties and renting them. Although the ROI is higher, the time and energy put into constantly dealing with issues  is not worth it for me. I would rather rent out a home that’s in good condition to the right people, and enjoy a smaller cashflow.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:25:49.790Z	54c42178db8155e6700f0cf4	klmlfl	55b258fdbab860d81689dc22	On average, amongst 3 rentals, I get maybe 6-10 calls a year. Usually little things: AC not turning on, toilet issues. I subscribe to an annual maintenance plan for those things so they just take care of it for the most part. The last time I had to spend significant money was when a backyard fence fell over. That could have been avoided if I checked the fence before buying the home, it was something that neither I nor the inspector noticed.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:23:39.823Z	54c42178db8155e6700f0cf4	klmlfl	55b2587b69ee33730f443288	Oh yea, there’s always work, but in my case it’s well worth it. My buying and renting strategy is very specific — I acquire properties that will require little maintenance (or I fix them up to require less maintenance, e.g., put in non-carpet flooring) and I screen my tenants appropriately.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:19:42.372Z	5587965b15522ed4b3e25670	itzsaga	55b2578e69ee33730f44324d	More work = greater returns. I see owning and managing rental properties as a job not an investment. Thoughts on that difference? 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-24T15:16:30.056Z	54c42178db8155e6700f0cf4	klmlfl	55b256cebab860d81689dbd8	"Great ideas here. What’s worked out pretty well for me and my family is real estate investing, specifically buying and renting homes. 
If you can afford a significant down payment and repair/maintenance costs, you can expect to make  greater than 10% annual return on your money. What’s great about real estate investing is that the longer you are in the game, the more leverage you have for future investments which require less cash out of pocket."
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T22:59:42.999Z	558648d915522ed4b3e23905	MirPresT	55b171df6e982043058b1be9	
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T19:53:10.503Z	558ae52615522ed4b3e2a56e	orangelines	55b14626145c42fe657e6669	@itzsaga thanks! I'm leaning towards managing myself as well. I'll be able to learn more that way also.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T18:28:20.223Z	5587965b15522ed4b3e25670	itzsaga	55b132444fdc50987c73afe5	@orangelines it all comes down to fees and your personal plan. I personally prefer purchasing index funds myself and stay away from allowing others to manage my money. I'm no CFP but I feel that in the long haul the market makes money.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T18:11:22.006Z	558648d915522ed4b3e23905	MirPresT	55b12e4a5992e2977c4188df	@orangelines  I have not used either but I am familiar with vanguard - on the surface Vanguard has much higher minimum balance requirements than betterment's ($0) requirement and wealthfront's($500) - that may be irrelevant but thought it might be helpful if you are just beginning an account -  
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T16:27:44.475Z	558ae52615522ed4b3e2a56e	orangelines	55b11600f2cdad46058b1dc8	Has anyone here used Wealthfront or Betterment? I'm looking into investing soon and trying to decide between those or Vanguard. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T01:09:05.773Z	558648d915522ed4b3e23905	MirPresT	55b03eb1145c42fe657e4454	@QuincyLarson  thanks - keep up the hardwork  - I know many people appreciate it -
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T01:06:20.694Z	546fc9f1db8155e6700d6e8c	QuincyLarson	55b03e0c6e982043058af28d	@MirPresT Awesome. We’re thrilled to have you here. Being able to code is pretty darn useful in finance ;)
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-23T00:07:34.240Z	558648d915522ed4b3e23905	MirPresT	55b03046145c42fe657e431f	From what I've learned over the past 6 months exploring best practices for individual investing - trading individual stocks is something to stay away from, unless you can legitimately be ok with losing the money. Call it fun money - The issue is and the thing many don't realize is, investing is and prbably should be very 'boring'. You shouldnt be required to check your holding every week and you should probably set things up so money is automatically distributed amongst your accounts... Just my two cents. Finance Major - Really interested in exploring fee-only financial planning / become a CFP -  Its really great to know that if / when I have a business Idea I want to run with ... i'll have a finance background along with a newly acquired and continually progressing - web development technical background. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T23:27:40.140Z	55a99d0f8a7b72f55c3fba28	particlesurfer	55b026ec145c42fe657e4219	They're awesome guys(who I met)
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T23:27:22.666Z	55a99d0f8a7b72f55c3fba28	particlesurfer	55b026da5992e2977c41692d	I had a roommate who has stock in RAX. I almost worked for them too!!
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T19:58:22.826Z	546fc9f1db8155e6700d6e8c	QuincyLarson	55aff5de145c42fe657e3a9b	I agree with @CodeNonprofit - risk diversification is the name of the game :)
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:49:14.630Z	546fda59db8155e6700d6ece	CodeNonprofit	55afd79ab7cc57de1d576e78	But, again, I was just fooling around. Don’t bet your retirement on individual stocks!
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:48:57.665Z	546fda59db8155e6700d6ece	CodeNonprofit	55afd789a3bbb5445f63ab63	I did buy RAX (rackspace) at 23 and sold at 47 many years ago. That was the only time I doubled my money on an individual stock.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:44:38.365Z	551ca2fa15522ed4b3de3968	fangowolf	55afd6863c1189fb1dc12ec2	I agree with the Benjamin Graham statement. However, I do feel I have to read it over a few times before I fully grasp the message of the book haha. 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:42:37.692Z	546fda59db8155e6700d6ece	CodeNonprofit	55afd60d14ea54755e72dd53	One of the better books I’ve read on the subject is Benjamin Graham’s The Intelligent Investor, which has been canonized in the investment arena, and is a must-read
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:41:24.155Z	546fda59db8155e6700d6ece	CodeNonprofit	55afd5c4a3bbb5445f63ab0d	I’ve invested in individual stocks in the past, but have my relatively small amount of investment money in an S&P500 index fund. I strongly believe that outside of investing for fun, like buying a share of Tesla just to see how it goes or whatever, the best option for the majority of people is to invest in a low cost index fund.
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:33:19.038Z	551ca2fa15522ed4b3de3968	fangowolf	55afd3df3c1189fb1dc12e6e	I just started myself
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T17:03:00.251Z	55a529d45e0d51bd787b5acb	nectar09	55afccc4615eb46a11738e2b	Is someone here making life by investing in stocks?
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-22T01:23:34.240Z	55a99d0f8a7b72f55c3fba28	particlesurfer	55aef096615eb46a117374af	Here to learn or teach? lol
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-21T05:14:27.180Z	559f49980fc9f982beaa5c85	kjcode25	55add5330b0e863a256f59cd	hello 
55ab70f637f2ad22587e6205	FreeCodeCamp/Saving	2015-07-21T01:50:49.810Z	55a99d0f8a7b72f55c3fba28	particlesurfer	55ada5790b0e863a256f5695	holaA
