56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-12-20T17:53:30.262Z	55cde1430fc9f982bead6035	julianorafael	5859701ac5a4e0233bac1bbc	Tem alguém trabalhando ativamente nas traduções?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-09-17T11:05:25.359Z	540a150e163965c9bc202eaf	abhisekp	57dd237527a8458f7f216d26	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-09-14T18:03:42.897Z	57d98d5040f3a6eec06540d4	luizfreitas	57d990fe18291e10487021ab	Olá Mundo em PT-BR!!!
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-09-04T04:10:15.572Z	572c33b7c43b8c6019716c0b	sirluis	57cb9ea729ee4a67058d0988	@samanthakem I'll Check it out soon :)
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-09-02T14:37:25.291Z	57c46bfa40f3a6eec061f3d0	estergomes	57c98ea529ee4a670587f5f8	Oi 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-30T16:31:55.228Z	57aa65a540f3a6eec05eb17a	samanthakem	57c5b4fb4023dec56c2a8f1e	Is anyone able to review my PR? :/ 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-30T03:39:39.656Z	57aa65a540f3a6eec05eb17a	samanthakem	57c4fffbca24c06c6385e305	Feel free to review my PR everyone https://github.com/FreeCodeCamp/FreeCodeCamp/pull/10390
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-22T02:03:52.024Z	558a3a0c15522ed4b3e29862	tiagocalisto	57ba5d8887f779f06917a3f7	"@samanthakem ""I help you the translation. My English is moreless more i can help you."""
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-12T16:35:54.872Z	57aa65a540f3a6eec05eb17a	samanthakem	57adfaea364ad7fc5ace224a	I want to help with the translation as well : )
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-06T16:21:55.877Z	558a3a0c15522ed4b3e29862	tiagocalisto	57a60ea3483751d50f2ed237	as ordens. Se precisar de ajuda estamos ai.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-06T14:53:17.938Z	5586bbe815522ed4b3e23edb	HugoOliveiraThor	57a5f9dd483751d50f2eaae9	Ok Thanks! 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-06T14:51:58.417Z	558a3a0c15522ed4b3e29862	tiagocalisto	57a5f98e48422f8b497448c7	Todos são responsáveis por traduzir o FreeCodeCamp, tem um tutorial de como traduzir no forum, se rolar a conversar acima vai encontrar a documentação, todos podem ajudar.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-04T19:09:32.903Z	578c0d40c2f0db084a236aef	nbkhope	57a392ec836d2d0211647247	Nao sei
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-08-04T11:25:57.638Z	5586bbe815522ed4b3e23edb	HugoOliveiraThor	57a32645e2ff9ec76e55d592	Meus amigos quem são os responsáveis pela tradução da versão para português do free code camp?? 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-11T16:16:59.989Z	5768515ec2f0db084a1efb40	BibiKnup	5783c67bb79455146f94b1bf	Ty *-* 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-11T16:05:04.046Z	577a9baec2f0db084a21632a	Pichok	5783c3b0b79455146f9477d5	Ou o margin: 0 auto; aplicado diretamente na imagem. (Nao sei é errado ou certo fazer dessa maneira @BibiKnup 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-11T16:04:08.914Z	577a9baec2f0db084a21632a	Pichok	5783c3783eaf66535e777fdb	Acho que você consegue esse efeito com o text-center na div em que ela se encontra (a imagem nao pode conter a classe img-responsive)
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-11T15:28:59.174Z	5768515ec2f0db084a1efb40	BibiKnup	5783bb3bc9b49c1d6f054137	Pergunta boba: Como centralizar uma imagem (que ficará sempre no centro, independente se a tela mudar de tamanho) em uma section ou div.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-06T03:01:50.254Z	577a9baec2f0db084a21632a	Pichok	577c749ee22c1b816ae3bafc	https://codepen.io/Pichok/full/bZRkNE/
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-06T03:01:49.419Z	577a9baec2f0db084a21632a	Pichok	577c749dc6b33f904a8feaf1	Se alguém puder dar uma olhada
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-06T03:01:40.302Z	577a9baec2f0db084a21632a	Pichok	577c74949d3eadd723729094	Fiz minha página de tributo 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T23:39:53.701Z	577a9baec2f0db084a21632a	Pichok	577c45499d3eadd723701954	Obrigado 😉
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T22:46:06.444Z	558a3a0c15522ed4b3e29862	tiagocalisto	577c38ae4e50bf894a202583	Sejam bem vindos.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:32:41.248Z	577b03d1c2f0db084a216dcb	pcdamazo	577b0e39584c2e775bde26e4	Obrigado.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:32:23.503Z	577a9baec2f0db084a21632a	Pichok	577b0e273ac2a2dc143cbdf2	Bons estudos :smile: 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:32:08.364Z	577a9baec2f0db084a21632a	Pichok	577b0e18584c2e775bde269f	suadusad exatamente
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:31:31.587Z	577b03d1c2f0db084a216dcb	pcdamazo	577b0df34bee5c570926628f	É isso aí Guilherme, vamos nessa que tá bom a bessa!
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:30:58.707Z	577a9baec2f0db084a21632a	Pichok	577b0dd269ed53d8142d82e0	sou de Francisco Beltrão, PR
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:30:49.316Z	577a9baec2f0db084a21632a	Pichok	577b0dc9584c2e775bde2342	Também comecei hoje 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:30:41.075Z	577a9baec2f0db084a21632a	Pichok	577b0dc13ac2a2dc143cbd09	Olá :D
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-07-05T01:30:22.466Z	577b03d1c2f0db084a216dcb	pcdamazo	577b0dae69ed53d8142d8285	Ola pessoal, estou entrando agora, sou de Suzano, SP.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-06-27T01:11:06.209Z	5595ea8b15522ed4b3e3479f	gutogarrote	57707d2a8441a8124d5758a4	I'd love to help
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-06-27T01:10:56.003Z	5595ea8b15522ed4b3e3479f	gutogarrote	57707d20632b75030f77ef46	"Hey guys!

How's the PT-BR translation doing?

I"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-06-20T14:38:53.619Z	558a3a0c15522ed4b3e29862	tiagocalisto	5767fffd3881bc405b6f1c72	Boa semana a todos.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-06-13T23:44:06.340Z	56816d9b16b6c7089cc06642	jlouiss	575f4546814a56807142d45a	tudo bem
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-06-13T23:44:01.250Z	56816d9b16b6c7089cc06642	jlouiss	575f4541064b9e7266f24afb	oi pessoal
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-06-04T11:26:40.340Z	5737c5b4c43b8c601972f7d1	Lucasmrx	5752baf06c75e0cd69592933	Olá
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-05-18T13:01:22.678Z	550d9b7415522ed4b3dd99a5	feliperdius	573c67a2ae26c1967f9f9993	Traduziria assim: Aprenda como funcionam as Script Tags e o Document Ready
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-05-12T22:15:53.128Z	55d957ae0fc9f982beae4c4e	duuz	573500991794136a7d0829d1	traduziria assim: Aprenda como as Script Tags e o Document Ready funcionam
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:20:55.671Z	5601f15a0fc9f982beb18351	henriquetsc	57047287ad40c3877fa9a0cd	E caso a wiki de termos já tenha sido criada, como eu posso acessar ela?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:12:45.142Z	5601f15a0fc9f982beb18351	henriquetsc	5704709d8eec5313252e7142	por se tratar de uma function do jQuery na verdade...
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:12:18.913Z	5601f15a0fc9f982beb18351	henriquetsc	57047082ad40c3877fa9a08d	"Estou em dúvida quanto ao ""Document Ready"""
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:12:01.681Z	5601f15a0fc9f982beb18351	henriquetsc	570470715386a9152533b360	"""Learn how Script Tags and Document Ready Work"""
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:11:57.521Z	5601f15a0fc9f982beb18351	henriquetsc	5704706d15b4d27b083f0b92	Como vcs traduziriam este título?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:11:48.852Z	5601f15a0fc9f982beb18351	henriquetsc	57047064f504b375561b8914	Devia ter perguntado a algum tempo...
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-06T02:11:41.914Z	5601f15a0fc9f982beb18351	henriquetsc	5704705d5386a9152533b35c	Olá pessoal, tudo bem?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-04T13:29:59.594Z	54b3f45fdb8155e6700e9307	jeanleonino	57026c57e4a8384a1bbe9fc0	@vtamara thanks for confirming this. 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-04T11:17:59.205Z	55ba77990fc9f982beab938d	vtamara	57024d678d2a72471b7cc636	Hi, in https://gitter.im/FreeCodeCamp/CoreTeam?at=57013fc31a1ccc164832b401 Berkeley confirmed that the prefered is CamelCase so please use titlePtBr and descriptionPtBr
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-01T10:11:33.038Z	55ba77990fc9f982beab938d	vtamara	56fe495511ea211749c3d14c	Thanks @QuincyLarson, could you please confirm if they should use  titlePtBr instead of namePtBR ?   
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-01T06:52:12.065Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56fe1a9c54b9c4023d23e417	@lucaslmuller @jeanleonino I've re-opened the pull request. Please take a look at it, and when it's ready we can merge it.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-04-01T06:50:39.882Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56fe1a3f1a1ccc164832a907	@jeanleonino @vtamara OK - I talked with @berkeleytrue and it sounds like there was just a misunderstanding (he agreed and thought we'd already reopened that issue) - we are definitely going forward with Brazilian Portuguese! :)
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-31T21:22:30.195Z	54b3f45fdb8155e6700e9307	jeanleonino	56fd9516e4a8384a1bbdc50d	thanks, @QuincyLarson :) 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-31T07:00:41.625Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56fccb191a1ccc164832a0c9	I will talk with @berkeleytrue about this. For the meantime, please continue your important work on the Brazilian Portuguese translation of our challenges.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-31T06:59:53.628Z	546fc9f1db8155e6700d6e8c	QuincyLarson	56fccae9d087756f7c0420c6	"@jeanleonino @vtamara Sorry for the confusion, and that I didn't respond earlier. 

I had a long discussion with several Brazilian campers, and I think we absolutely should support Brazilian Portuguese. Note that we are also supporting both traditional (zh-tw) and simplified Chinese (zh-cn), so there is a precedent for this. "
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T19:32:46.263Z	55ba77990fc9f982beab938d	vtamara	56fc29ded39de41b495f15b9	From Portugal wants a different transalation they can speak to Quincy and Berkeley to deal.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T19:31:51.015Z	55ba77990fc9f982beab938d	vtamara	56fc29a7e4a8384a1bbd5d82	Or simply continue translating using brazilian portuguese only when mandatory with titlePt and if later if a group fr
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T19:27:55.645Z	55ba77990fc9f982beab938d	vtamara	56fc28bbd39de41b495f1566	https://github.com/FreeCodeCamp/FreeCodeCamp/pull/6930
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T19:27:00.906Z	55ba77990fc9f982beab938d	vtamara	56fc288411ea211749c344d8	@jeanleonino please talk to Quincy and reference 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T12:15:22.852Z	54b3f45fdb8155e6700e9307	jeanleonino	56fbc35a11ea211749c3204f	@vtamara this is important right now to me (as Academia Lovelace) as we are using FCC to teach women to code here, with study groups, and have the software in European Portuguese would be one more item to deal with. 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T12:09:56.345Z	54b3f45fdb8155e6700e9307	jeanleonino	56fbc214d39de41b495ef0d7	"as a native language speaker I do feel the difference, it is not like in Spanish where there's an ""international Spanish"" where people have a more common expressions, and so on"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T12:09:10.322Z	54b3f45fdb8155e6700e9307	jeanleonino	56fbc1e68f5147e119f1bdb9	@vtamara which is why I asked to create this separation to @QuincyLarson when we started 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T12:08:50.475Z	54b3f45fdb8155e6700e9307	jeanleonino	56fbc1d2bbffcc665faa83d0	@vtamara seriously would be better to have this separation. Brazilian Portuguese use jargon in English (in programming, for example), Portugal does not. It really makes it confusing especially for who's learning. 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T10:48:19.777Z	55ba77990fc9f982beab938d	vtamara	56fbaef3bbffcc665faa7e87	Please update with this change 'namePtBR' -> 'titlePt', the pull requests that were closed recently and that had already been reviewed, rebase, squeeze commits into one if necessary, reopen the Pull Request.   Sorry for the additional work.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T10:44:28.260Z	55ba77990fc9f982beab938d	vtamara	56fbae0ce4a8384a1bbd3261	(please see https://github.com/FreeCodeCamp/FreeCodeCamp/pull/6930 )
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T10:38:06.782Z	55ba77990fc9f982beab938d	vtamara	56fbac8e76b6f9de194c7149	As I suggested you guys, please try to do a translation as Universal as possible.  Is it possible?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T10:36:57.481Z	55ba77990fc9f982beab938d	vtamara	56fbac498f5147e119f1b79f	Berkley insists that for the moment there will be support only for titlePt
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-30T10:36:22.365Z	55ba77990fc9f982beab938d	vtamara	56fbac26d39de41b495eeaa8	Blessings.  
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-29T00:39:36.436Z	5601f15a0fc9f982beb18351	henriquetsc	56f9cec876b6f9de194bf884	Uma dúvida rápida, no caso do title do desafio, eu crio algo como titlePtBR ou namePtBR?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-29T00:38:42.382Z	5601f15a0fc9f982beb18351	henriquetsc	56f9ce92d9b73e635f671fa9	Pessoal, oi todos bem?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-28T16:01:19.704Z	56409a2116b6c7089cba089a	lucaslmuller	56f9554f76b6f9de194bd655	ok @christophermoura 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-27T18:45:48.158Z	56ac277ae610378809beeffe	yesroh	56f82a5ce4a8384a1bbc66b6	 '''remote: Permission to FreeCodeCamp/FreeCodeCamp.git denied to yesroh.'''
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-27T18:45:06.422Z	5662ede016b6c7089cbd8396	MatheusGodinho	56f82a328f5147e119f0ead2	@lucaslmuller você no seu fork
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-27T18:43:27.798Z	56ac277ae610378809beeffe	yesroh	56f829cf11ea211749c24e6e	pessoas, terminei a tradução e quando  vou dar o git push aparece a seguinte mensagem: 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-25T00:28:11.465Z	5523e84e15522ed4b3de7a19	christophermoura	56f4861bbbffcc665fa93322	@lucaslmuller não posso te ajudar agora, pois estou sem computador. Entretanto, se até sábado (26/04) ninguém tiver te ajudado ainda, eu te ajudo a resolver, ok?
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-23T15:53:01.966Z	56409a2116b6c7089cba089a	lucaslmuller	56f2bbdd673d92744ee07bb7	"Boa tarde pessoal, tudo bem?
Então, eu fiz um PR há algumas semanas e que ainda não foi aceito, ele ava td certinho, mas agora depois de fazerem mudanças no repo original estão pedindo pra eu dar um `rebase` no meu branch,  o problema é que eu não sei como, vocês podem me ajudar por favor?"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-23T13:47:00.320Z	56f276c585d51f252aba553c	tathaks	56f29e54ba45ef634e8db8de	Olá
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-14T17:12:57.510Z	5523e84e15522ed4b3de7a19	christophermoura	56e6f1196fde057c2686a1fc	"# Notícia importante

O documento de recomendações criado pelo @vtamara foi incorporado à wiki do FreeCodeCamp e, agora, é a referência oficial para as iniciativas de tradução do FreeCodeCamp. 

O novo documento é o [Translations Guide](https://github.com/FreeCodeCamp/FreeCodeCamp/wiki/Translations-Guide) é já está sendo alterado para que fique menos ""técnico"" para os tradutores que ainda não conhecem bem o fluxo de trabalho do Git/Github.

---

> Outra **informação importante** é a de que um dos os atributos dos arquivos _JSON_ que usávamos para a tradução vão ""mudar de nome"":
> 
> O atributo em questão é o ```nameLn```: em breve, passará a ser ```titleLn```, conforme pode ser visto na issue [#7503](https://github.com/FreeCodeCamp/FreeCodeCamp/issues/7503).
> 
> Dessa forma, fiquem de olho no [Translations Guide](https://github.com/FreeCodeCamp/FreeCodeCamp/wiki/Translations-Guide) para a referida mudança!"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-14T17:01:10.095Z	5523e84e15522ed4b3de7a19	christophermoura	56e6ee56618c335373ebb46f	"Olá pessoal!

Para quem não lembra, estivemos conversando sobre a criação de uma wiki, como o local ""central"" para incluirmos os termos/expressões que estamos utilizando em nossas traduções com a intenção de se ter uma ""memória de tradução"" e, assim, mantermos um padrão das traduções.

Eu já havia criado algo nesse sentido, mas percebi que fazer algo ""fora"" do projeto do FreeCodeCamp iria acabar comprometendo a própria evolução da iniciativa de tradução. Isso acabou se confirmando quando vi a página ""[Spanish Translation Terminology](https://github.com/FreeCodeCamp/FreeCodeCamp/wiki/Spanish-Translation-Terminology)"" na própria Wiki do FreeCodeCamp e percebi que poderíamos criar uma página semelhante na própria wiki do FCC para não só termos todas as referências dentro do projeto, mas também que as mesmas possam ser aproveitadas por outras pessoas que irão fazer outras traduções.

Sendo assim, pretendo criar a página e submeter a PR ainda hoje para que possamos ""iniciar os trabalhos""... :smile:

Caso alguém queira contribuir, ou fazer alguma sugestão, entre em contato."
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-09T03:52:01.346Z	56b65102e610378809c03482	kevao012	56df9de168c077746483a16b	sim, imagino que uma wiki será melhor para ajudar nas traduções mesmo. O Google Sheets seria apenas um paliativo, enquanto a wiki não é criada.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-09T03:50:26.419Z	56b65102e610378809c03482	kevao012	56df9d8219834f3c35360359	@christophermoura tranquilo, sem stress. E parabéns pelo filho  :smile: 
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-08T01:21:59.004Z	5523e84e15522ed4b3de7a19	christophermoura	56de293768c077746483464e	Pull Request [#7097](https://github.com/FreeCodeCamp/FreeCodeCamp/issues/7097)
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-08T01:21:11.783Z	5523e84e15522ed4b3de7a19	christophermoura	56de2907a54928411669319c	Preciso que alguém alguém revise o Pull Request
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-08T01:19:34.197Z	5523e84e15522ed4b3de7a19	christophermoura	56de28a6b0cc3f1b4150e76c	Boa noite!
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-07T21:32:01.335Z	5523e84e15522ed4b3de7a19	christophermoura	56ddf351126367383571b415	"/@all Quantos membros nesse chat são portugueses?

Gostaria de tirar uma dúvida relacionada à tradução de alguns termos técnicos."
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-07T15:23:27.135Z	5523e84e15522ed4b3de7a19	christophermoura	56dd9cef12636738357197ab	"@kevao012, desculpe a demora para responder: estou correndo com os preparativos para o nascimento do meu filho... :smile:

Essa planilha foi criada com o intuito de auxiliar a tradução do FCC para o idioma espanhol. Poderíamos criar uma também, porém sugeri um(a) wiki pois isso nos daria a oportunidade de contextualizar nossas dúvidas e/ou sugestões por meio de exemplos.

/@all Gostaria **muito** de saber a opinião de todos: concordam, discordam, sugerem outra solução?"
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-02T00:28:01.909Z	56b65102e610378809c03482	kevao012	56d633910bdb886502f68c64	podemos pedir permissão para editar lá
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-02T00:27:18.692Z	56b65102e610378809c03482	kevao012	56d6336644ba0664026a4851	https://docs.google.com/spreadsheets/d/1c60Sl4MAAsZ7biCPgur7A4aVqhErIfwrE1SulPqbOGo/edit#gid=0
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-02T00:27:04.600Z	56b65102e610378809c03482	kevao012	56d633589b722b537d18b21e	Então, no glossário do link https://github.com/vtamara/fcc_trad/blob/master/Recomendaciones.EN.md, tem um link para um Google Sheet para colocarmos sugestões de tradução
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-02T00:25:32.008Z	56b65102e610378809c03482	kevao012	56d632fc44ba0664026a4836	@christophermoura Valeu!
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-02T00:12:35.433Z	55ba77990fc9f982beab938d	vtamara	56d62ff344ba0664026a4793	Suggestion. Obrigado.
56aab314e610378809bebcc2	FreeCodeCamp/BrazilianPortuguese	2016-03-02T00:12:22.021Z	55ba77990fc9f982beab938d	vtamara	56d62fe60bdb886502f68b94	Of course you are free to decide the direction it is just suhge
